登録日,表示/非表示フラグ,各物件トップ表示順位,物件名,TOP物件コメント,物件URL,物件サムネイル画像,エリア,エリア毎の並び順,所在地,利用可能路線1,利用可能路線2,利用可能路線3,利用可能路線4,メリットコピー,予定価格の下限,予定価格の上限,販売価格の下限,販売価格の上限,専有面積 下限,専有面積 上限,資料請求URL,間取り(下限値),間取り(上限値),NEW,分譲中・分譲予定,現地内覧可,モデルルーム公開中,駅5分,ファミリーにおすすめ,SINGLE・DINKS
2013/10/22,表示,1,パレステージ稲城,資料請求受付中,http://www.nisshinfudosan.co.jp/inagi/,thumb/h25/inagi_icon.jpg,東京都下,1,東京都稲城市東長沼2102番地,京王相模原線「稲城」駅より徒歩9分,JR南武線「稲城長沼」駅より徒歩9分,,,２駅２路線利用可能で新宿駅・渋谷駅へ26分の快適アクセス。\n様々な公園や桜並木が美しい遊歩道等、緑に癒される住環境。\n陽光溢れる南向き中心、一階住戸にはテラス・専用庭をご用意。,未定,未定,,,63.28㎡,80.67㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/inagi,2LDK,4LDK,表示,分譲予定,非表示,非表示,非表示,表示,非表示
2013/10/22,表示,2,パレステージ大森,資料請求受付中,http://www.nisshinfudosan.co.jp/omori/,thumb/h25/omori_icon.jpg,東京23区,1,東京都大田区大森北四丁目１7番,JR京浜東北線「大森」駅より徒歩9分,京浜急行線「平和島」駅より徒歩15分,,,品川駅へ直通6分、東京駅・横浜駅まで15分の快適アクセス。\n明るい光を取り入れる全戸南東向きの心地よい住空間。\n間取りは3LDK～4LDK＋Nのゆとりあるプラン。,未定,未定,,,63.76㎡,77.31㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omori,3LDK,4LDK+N,表示,分譲予定,非表示,非表示,非表示,表示,非表示
2013/8/9,表示,3,パレステージ大宮大和田,モデルルームオープン中,http://www.nisshinfudosan.co.jp/omiyaowada/,thumb/h25/omiyaowada_icon.jpg,埼玉,1,埼玉県さいたま市見沼区大和田町一丁目980番地,東武野田線「大和田」駅より徒歩3分,,,,大宮駅まで3駅6分。通勤や買い物に便利なアクセス。\nライフスタイルに合わせて選べる、南向き中心のプラン。\n大小様々な公園や24時間営業のスーパー等が揃う家族に嬉しい環境。,2300万円台,4300万円台,,,50.08㎡,87.51㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/omiyaowada,2LDK,4LDK+N,非表示,分譲予定,非表示,表示,表示,表示,非表示
2013/8/8,表示,4,パレステージ舎人公園,モデルルームオープン中,http://www.nisshinfudosan.co.jp/tonerikoen/,thumb/h25/tonerikoen_icon.jpg,東京23区,2,東京都足立区皿沼二丁目2番,日暮里舎人ライナー「谷在家」駅より徒歩4分,日暮里舎人ライナー「舎人公園」駅より徒歩7分,,,豊かな緑と水、スポーツ施設も充実した都立舎人公園へ徒歩4分。\n明るい陽光に満ち開放感ある眺望の全戸南向きプラン。\n大手町駅へ22分、東京駅へ23分の軽快アクセス。,,,2380,3380,54.46㎡,72.47㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/tonerikoen,2LDK,4LDK,非表示,分譲中,非表示,表示,表示,表示,非表示
2013/8/8,表示,5,パレステージ溝の口,モデルルームオープン中,http://www.nisshinfudosan.co.jp/mizonokuchi/,thumb/h25/mizonokuchi_icon.jpg,神奈川,1,神奈川県川崎市高津区久本二丁目11番,東急田園都市線・大井町線「溝の口」駅より徒歩10分,JR南武線「武蔵溝ノ口」駅より徒歩10分,東急田園都市線「梶ヶ谷」駅より徒歩9分,,溝の口駅より徒歩10分。渋谷駅へ13分の快適アクセス。\n眺望・陽光・風がご家族をお迎えする爽快立地に誕生する全80邸。\n充実の仕様と優美なデザインを供えた設備・仕様をご用意。,,,3630,4930,65.40㎡,75.33㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mizonokuchi,3LDK,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/7/24,表示,6,パレステージ三鷹,モデルルームオープン中,http://www.nisshinfudosan.co.jp/mitaka/,thumb/h25/mitaka_icon.jpg,東京都下,2,東京都三鷹市下連雀三丁目4番,JR中央線・総武線「三鷹」駅より徒歩11分,,,,街の賑わいと井の頭恩賜公園の潤いが調和するロケーション。\n三鷹駅より徒歩11分、新宿・東京へダイレクトアクセス。\nライフスタイルに合わせて選べる1LDK～4LDKのプラン。,,,3470,6160,46.18㎡,71.56㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/mitaka,1LDK,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/4/9,表示,,パレステージ松戸北小金,,http://www.nisshinfudosan.co.jp/matsudokitakogane/,thumb/h25/matsudokitakogane_icon.jpg,千葉,1,千葉県松戸市根木内237番地,JR常磐線「北小金」駅より徒歩11分,,,,爽やかな陽光と風が息づく全戸南向きのプランニングをご用意。\n千代田線乗り入れで大手町・日比谷・霞が関へ直通アクセス。\n食洗機や床暖房など家族に嬉しい設備・仕様が充実。,,,2740,3190,70.02㎡,70.49㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/matsudokitakogane,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/3/25,表示,,TOKYO TWINKLE PROJECT,,http://www.nisshinfudosan.co.jp/machiya/,thumb/h25/tokyo_twinkle_project_icon.jpg,東京23区,3,壱番館：東京都荒川区町屋八丁目1番\n弐番館：東京都荒川区町屋七丁目1番,壱番館：東京メトロ千代田線「町屋」駅より徒歩7分,弐番館：東京メトロ千代田線「町屋」駅より徒歩11分,壱番館：京成本線「町屋」駅より徒歩8分,弐番館：京成本線「町屋」駅より徒歩12分,町屋に誕生する2棟の「パレステージ」シリーズ。\nライフスタイルに合わせて選べる2LDK＋S～4LDKの間取り。\n大手町駅へ直通12分、東京駅へ13分の軽快アクセス。,,,3610,4960,63.39㎡,83.16㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/machiya,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
2013/2/21,表示,,パレステージ阿佐ヶ谷,,http://www.nisshinfudosan.co.jp/asagaya,thumb/h25/asagaya_icon.jpg,東京23区,4,東京都杉並区本天沼一丁目28番,JR中央線・総武線「阿佐ヶ谷」駅より徒歩13分,西武新宿線「鷺ノ宮」駅より徒歩14分,,,阿佐ヶ谷の賑わいと中杉通りの緑豊かな自然が調和する住環境。\n新宿へ直通8分、東京へ直通21分の快適なアクセス。\n使いやすさにこだわって選びぬかれた設備・仕様をご用意。,,,7300,7790,86.53㎡,87.62㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/asagaya,4LDK,4LDK,非表示,分譲中,表示,非表示,非表示,表示,非表示
2013/2/8,表示,7,パレステージ西所沢,モデルルームオープン中,http://www.nisshinfudosan.co.jp/nishitokorozawa/,thumb/h25/nishitokorozawa_icon.jpg,埼玉,2,埼玉県所沢市金山町14番,西武池袋線「西所沢」駅より徒歩6分,,,,西所沢駅徒歩6分の角地に誕生する、15階建、全70邸。\n陽光溢れる、全戸南東向きの明るい住空間。\n毎日の暮らしを便利にする、女性に嬉しい設備・仕様。,,,2750,3490,69.45㎡,75.99㎡,https://enq.nisshinfudosan.co.jp/form/fm/honsya/nishitokorozawa,2LDK+S,4LDK,非表示,分譲中,非表示,表示,非表示,表示,非表示
